Date,Product_ID,Production,Sales,Inventory,Price,Promotion,Holiday,Demand
2025-03-14,P005,316,224,64,396.91,1,0,268
2025-03-15,P002,388,406,206,430.15,0,1,335
2025-03-16,P005,351,296,310,392.46,0,0,215
2025-03-17,P002,461,380,206,331.8,0,0,335
2025-03-18,P001,205,211,96,109.06,0,0,164
2025-03-19,P004,379,371,373,64.64,0,0,284
2025-03-20,P004,214,149,179,464.38,1,0,179
2025-03-21,P004,378,331,460,327.49,0,0,359
2025-03-22,P005,554,494,144,408.44,0,0,372
2025-03-23,P001,380,354,341,266.69,0,1,268
2025-03-24,P005,459,443,332,102.79,0,0,414
2025-03-25,P005,279,261,118,106.33,0,0,235
2025-03-26,P001,309,246,60,358.5,1,0,260
2025-03-27,P001,229,170,303,243.64,1,0,164
2025-03-28,P001,400,281,599,140.24,1,0,333
2025-03-29,P001,487,425,183,271.22,0,0,354
2025-03-30,P004,111,98,72,78.89,0,0,19
2025-03-31,P003,135,118,395,311.89,0,0,121
2025-04-01,P003,199,205,351,171.05,0,0,198
2025-04-02,P001,340,252,412,408.9,1,0,273
2025-04-03,P003,307,220,445,189.66,0,0,211
2025-04-04,P003,355,321,267,254.85,0,0,309
2025-04-05,P001,312,299,190,55.23,0,0,275
2025-04-06,P003,269,205,259,82.6,0,0,221
2025-04-07,P005,213,137,509,226.62,1,0,170
2025-04-08,P002,293,227,405,265.97,0,0,239
2025-04-09,P002,450,396,373,320.01,0,0,354
2025-04-10,P001,549,462,182,181.25,0,0,429
2025-04-11,P004,424,440,176,362.74,0,0,325
2025-04-12,P001,162,80,155,437.06,1,0,121
2025-04-13,P004,626,466,427,400.93,1,0,457
2025-04-14,P002,530,427,100,67.83,1,0,440
2025-04-15,P001,313,269,78,266.23,1,1,227
2025-04-16,P005,316,270,511,97.22,0,0,215
2025-04-17,P003,481,448,345,158.92,0,0,462
2025-04-18,P004,510,488,346,494.0,0,0,445
2025-04-19,P003,403,391,456,114.12,0,0,403
2025-04-20,P003,568,496,454,274.5,1,0,461
2025-04-21,P001,216,196,395,328.17,0,0,157
2025-04-22,P003,348,213,469,366.11,1,0,212
2025-04-23,P005,174,137,231,301.84,0,0,88
2025-04-24,P003,165,123,50,54.4,0,0,89
2025-04-25,P001,277,252,420,196.91,0,0,254
2025-04-26,P005,302,239,480,282.97,1,0,251
2025-04-27,P002,250,252,358,89.54,0,1,216
2025-04-28,P003,422,396,186,207.78,0,0,364
2025-04-29,P001,454,382,251,64.94,0,0,426
2025-04-30,P002,309,228,485,85.36,0,0,174
2025-05-01,P002,185,159,362,228.62,0,0,169
2025-05-02,P004,606,453,166,109.72,1,0,527
2025-05-03,P005,355,292,293,305.39,0,0,225
2025-05-04,P003,341,282,586,360.26,0,0,270
2025-05-05,P001,351,331,124,410.26,0,0,280
2025-05-06,P004,376,308,435,140.07,0,0,276
2025-05-07,P005,294,243,259,125.37,1,0,252
2025-05-08,P004,388,306,524,97.06,0,0,267
2025-05-09,P005,329,226,467,336.39,0,0,264
2025-05-10,P005,151,99,396,367.91,0,0,73
2025-05-11,P003,597,481,578,64.21,1,0,535
2025-05-12,P005,235,126,228,471.3,1,0,134
2025-05-13,P004,348,312,231,73.39,0,0,261
2025-05-14,P005,456,384,74,293.58,0,0,373
2025-05-15,P003,109,93,229,369.08,0,1,0
2025-05-16,P003,304,222,550,441.94,1,0,227
2025-05-17,P004,538,494,210,371.34,0,0,427
2025-05-18,P002,91,80,226,410.78,0,0,45
2025-05-19,P002,493,452,334,202.75,0,0,395
2025-05-20,P005,130,133,112,416.67,0,0,97
2025-05-21,P001,477,453,205,86.05,0,0,428
2025-05-22,P005,456,338,518,452.67,1,0,375
2025-05-23,P004,246,223,98,296.42,0,0,153
2025-05-24,P004,85,91,133,417.78,0,0,38
2025-05-25,P004,467,409,410,253.54,0,1,363
2025-05-26,P004,451,303,197,339.61,1,0,364
2025-05-27,P004,390,351,391,286.88,0,0,262
2025-05-28,P003,466,437,525,379.22,1,0,436
2025-05-29,P002,482,487,112,86.73,0,0,371
2025-05-30,P004,266,235,409,77.16,0,0,214
2025-05-31,P001,512,452,376,161.2,0,1,431
2025-06-01,P001,117,87,190,121.8,0,0,48
2025-06-02,P001,199,201,264,442.3,0,0,120
2025-06-03,P001,524,427,484,148.65,1,0,475
2025-06-04,P003,277,243,367,489.14,0,0,142
2025-06-05,P001,162,169,81,201.6,0,1,80
2025-06-06,P004,261,215,334,131.95,0,0,212
2025-06-07,P005,329,265,354,405.36,1,0,258
2025-06-08,P001,448,395,478,346.42,1,0,389
2025-06-09,P003,318,257,526,274.19,0,0,247
2025-06-10,P003,187,107,335,299.91,1,0,160
2025-06-11,P001,348,299,193,373.64,0,0,259
2025-06-12,P005,481,436,473,152.8,0,0,381
2025-06-13,P001,154,120,68,498.35,1,0,143
2025-06-14,P003,372,307,67,488.66,1,0,305
2025-06-15,P002,336,271,420,342.65,0,0,246
2025-06-16,P004,598,490,224,139.79,0,0,442
2025-06-17,P003,192,224,243,356.1,0,0,160
2025-06-18,P001,411,280,551,82.49,1,0,303
2025-06-19,P004,509,496,162,63.79,0,0,443
2025-06-20,P001,321,291,163,165.96,0,0,232
2025-06-21,P001,360,299,271,258.18,0,0,230
2025-06-22,P002,373,319,313,440.72,0,0,273
2025-06-23,P004,555,492,104,377.23,0,0,435
2025-06-24,P004,529,476,507,384.22,1,1,454
2025-06-25,P002,127,125,211,241.47,0,0,81
2025-06-26,P003,177,114,429,205.67,0,0,114
2025-06-27,P001,336,332,136,216.97,0,0,299
2025-06-28,P005,471,469,104,494.44,1,0,451
2025-06-29,P001,199,161,525,68.05,0,0,124
2025-06-30,P001,484,450,227,440.16,0,0,383
2025-07-01,P003,369,335,440,310.4,1,1,316
2025-07-02,P001,339,276,398,247.38,1,0,300
2025-07-03,P002,477,382,57,376.37,1,0,330
2025-07-04,P002,596,488,362,269.0,1,0,504
2025-07-05,P004,139,89,492,443.04,0,0,124
2025-07-06,P005,443,391,377,455.32,1,1,338
2025-07-07,P001,367,365,103,239.77,0,0,288
2025-07-08,P001,362,321,288,174.57,1,0,351
2025-07-09,P003,358,330,278,316.56,1,0,343
2025-07-10,P002,515,444,100,460.56,1,0,471
2025-07-11,P005,75,84,313,144.8,0,0,24
2025-07-12,P004,255,198,467,330.33,0,0,188
2025-07-13,P002,407,368,145,334.2,0,0,332
2025-07-14,P004,513,453,137,379.9,1,0,443
2025-07-15,P003,202,144,127,109.21,1,0,201
2025-07-16,P003,245,225,337,372.12,0,0,209
2025-07-17,P001,360,303,169,459.06,0,0,276
2025-07-18,P005,337,318,540,130.86,0,0,246
2025-07-19,P004,338,256,501,156.89,1,0,318
2025-07-20,P002,446,346,549,487.13,1,0,350
2025-07-21,P003,481,420,214,131.44,0,0,385
2025-07-22,P001,397,361,231,434.47,0,0,301
2025-07-23,P001,217,142,518,271.53,1,0,175
2025-07-24,P004,399,296,56,161.25,1,0,370
2025-07-25,P003,481,421,379,441.84,0,0,356
2025-07-26,P005,449,394,200,250.39,0,0,315
2025-07-27,P003,380,362,134,281.67,0,0,296
2025-07-28,P004,267,256,196,211.66,0,0,222
2025-07-29,P004,517,496,430,316.83,0,0,463
2025-07-30,P003,212,177,597,123.59,0,0,176
2025-07-31,P004,319,184,334,225.99,1,0,211
2025-08-01,P003,142,178,131,486.24,0,1,152
2025-08-02,P002,540,464,563,166.16,1,0,486
2025-08-03,P003,530,484,572,345.53,0,0,458
2025-08-04,P003,515,390,435,196.34,0,0,362
2025-08-05,P004,123,85,520,398.06,0,0,70
2025-08-06,P004,312,276,168,108.89,0,0,274
2025-08-07,P001,608,430,445,486.42,1,0,484
2025-08-08,P001,333,212,581,254.21,1,0,287
2025-08-09,P002,438,437,310,156.22,0,0,407
2025-08-10,P001,355,338,305,83.07,0,0,292
2025-08-11,P003,177,102,275,126.39,1,0,138
2025-08-12,P004,113,132,102,283.9,0,0,101
2025-08-13,P001,276,244,549,201.65,0,0,239
2025-08-14,P001,422,281,555,423.0,1,0,303
2025-08-15,P002,208,162,413,243.9,0,0,170
2025-08-16,P002,260,224,329,161.92,0,0,241
2025-08-17,P003,191,164,207,327.72,0,0,101
2025-08-18,P004,240,157,108,368.05,1,0,162
2025-08-19,P002,429,445,177,125.17,0,0,382
2025-08-20,P001,88,80,164,125.43,0,0,73
2025-08-21,P004,185,130,258,66.5,1,0,165
2025-08-22,P004,323,252,575,381.38,0,0,255
2025-08-23,P001,427,284,570,348.71,1,0,331
2025-08-24,P002,358,339,286,263.58,0,0,290
2025-08-25,P001,614,448,330,429.88,1,0,422
2025-08-26,P004,374,367,408,412.55,0,0,260
2025-08-27,P005,155,113,250,313.41,0,1,61
2025-08-28,P005,488,427,327,440.72,0,0,300
2025-08-29,P003,211,174,284,142.63,0,0,185
2025-08-30,P001,286,151,543,100.36,1,0,212
2025-08-31,P001,148,118,53,171.39,1,0,252
2025-09-01,P003,295,233,491,75.69,0,0,288
2025-09-02,P003,319,329,78,289.03,0,0,265
2025-09-03,P003,281,241,158,471.47,1,1,206
2025-09-04,P004,252,197,124,67.7,1,0,271
2025-09-05,P001,409,338,195,104.95,0,0,365
2025-09-06,P004,515,458,177,253.49,0,0,357
2025-09-07,P003,410,385,91,470.24,0,0,262
2025-09-08,P001,390,347,405,192.27,0,0,289
2025-09-09,P004,133,133,90,278.26,0,0,115
2025-09-10,P004,340,315,83,68.71,0,0,299
2025-09-11,P003,492,468,66,116.75,0,0,450
2025-09-12,P001,380,301,202,493.98,1,0,270
2025-09-13,P003,371,330,427,484.3,0,1,164
2025-09-14,P001,459,392,391,52.22,0,0,391
2025-09-15,P005,480,480,76,478.32,0,1,334
2025-09-16,P002,216,191,336,337.6,0,0,91
2025-09-17,P002,399,334,217,440.56,0,0,286
2025-09-18,P002,408,382,317,254.63,0,0,354
2025-09-19,P003,570,486,504,282.02,0,0,432
2025-09-20,P005,295,286,450,269.98,0,1,189
2025-09-21,P001,343,308,525,350.09,0,0,253
2025-09-22,P004,439,420,179,112.84,0,1,328
2025-09-23,P001,556,477,412,63.49,1,0,459
2025-09-24,P004,188,145,341,188.57,0,0,105
2025-09-25,P001,314,154,420,367.11,1,0,220
2025-09-26,P005,180,182,78,140.83,0,0,162
2025-09-27,P004,297,271,198,353.04,0,0,227
2025-09-28,P003,356,331,345,486.46,0,0,235
2025-09-29,P001,347,305,60,92.26,0,0,272
2025-09-30,P001,479,373,561,352.67,1,0,324
2025-10-01,P004,450,385,162,249.69,1,0,403
2025-10-02,P003,247,177,236,440.66,1,0,239
2025-10-03,P003,390,417,276,129.72,0,0,314
2025-10-04,P005,425,365,359,361.68,0,0,297
2025-10-05,P003,453,414,147,427.15,0,0,358
2025-10-06,P003,457,426,104,475.08,0,0,391
2025-10-07,P003,497,387,455,357.46,0,0,334
2025-10-08,P002,383,328,118,273.73,0,0,266
2025-10-09,P005,269,245,361,328.03,0,1,106
2025-10-10,P001,462,414,338,441.01,0,0,352
2025-10-11,P004,178,109,597,306.77,1,0,207
2025-10-12,P001,454,326,197,63.67,1,0,384
2025-10-13,P005,313,185,516,468.93,1,0,215
2025-10-14,P004,161,130,293,360.29,0,0,106
2025-10-15,P005,224,160,540,354.43,0,0,131
2025-10-16,P003,239,212,556,147.05,0,0,161
2025-10-17,P004,518,364,414,346.5,1,0,418
2025-10-18,P003,494,467,531,227.24,0,1,381
2025-10-19,P001,280,217,250,343.05,0,0,184
2025-10-20,P001,323,263,203,97.97,1,0,270
2025-10-21,P004,582,480,499,346.03,0,0,469
2025-10-22,P004,507,409,550,499.74,0,0,373
2025-10-23,P005,406,352,122,71.7,0,0,308
2025-10-24,P005,482,419,345,489.73,0,0,384
2025-10-25,P003,145,148,66,233.11,0,0,99
2025-10-26,P004,168,113,266,441.84,0,0,57
2025-10-27,P001,381,341,110,402.07,0,0,262
2025-10-28,P005,124,132,91,305.16,0,0,39
2025-10-29,P005,348,284,74,382.3,1,1,275
2025-10-30,P001,239,205,88,445.33,0,1,67
2025-10-31,P005,362,314,180,231.86,0,0,239
2025-11-01,P003,171,122,547,197.16,0,0,44
2025-11-02,P004,364,319,278,350.42,1,0,323
2025-11-03,P001,498,450,157,413.53,0,0,379
2025-11-04,P004,199,190,221,393.03,0,0,132
2025-11-05,P005,411,328,484,409.02,1,0,307
2025-11-06,P005,357,230,527,246.01,1,0,239
2025-11-07,P001,253,262,151,418.03,0,0,214
2025-11-08,P003,513,415,573,104.09,1,0,428
2025-11-09,P002,185,174,324,295.02,0,1,110
2025-11-10,P001,508,453,93,52.59,0,0,391
2025-11-11,P002,500,479,66,196.06,0,0,426
2025-11-12,P002,102,87,379,214.91,0,1,69
2025-11-13,P003,560,467,546,228.28,1,0,498
2025-11-14,P002,416,439,61,362.96,0,0,348
2025-11-15,P002,566,467,367,224.85,0,0,435
2025-11-16,P003,354,263,265,251.91,1,0,287
2025-11-17,P002,414,360,388,156.89,1,0,380
2025-11-18,P002,293,274,130,217.96,0,0,224
2025-11-19,P002,533,431,534,152.27,0,0,396
2025-11-20,P001,297,274,423,82.94,0,0,252
2025-11-21,P001,281,234,249,321.55,1,0,222
2025-11-22,P001,263,172,586,350.7,0,0,119
2025-11-23,P003,308,239,515,328.77,1,0,219
2025-11-24,P005,134,140,138,258.57,0,0,56
2025-11-25,P002,193,201,317,220.9,0,1,90
2025-11-26,P002,169,130,538,438.5,0,0,96
2025-11-27,P003,592,482,587,283.59,0,0,412
2025-11-28,P002,424,356,96,265.63,0,0,332
2025-11-29,P001,187,84,337,61.54,1,0,152
2025-11-30,P005,170,171,65,203.56,0,1,43
2025-12-01,P004,336,249,450,221.09,0,0,248
2025-12-02,P002,478,396,135,229.47,1,0,438
2025-12-03,P001,115,101,299,311.08,0,0,40
2025-12-04,P004,570,484,440,290.12,1,0,501
2025-12-05,P005,512,405,384,323.56,0,0,340
2025-12-06,P004,102,80,568,394.2,0,0,49
2025-12-07,P001,232,212,186,415.84,0,0,125
2025-12-08,P004,366,312,547,373.16,0,0,211
2025-12-09,P003,165,91,526,479.99,1,0,106
2025-12-10,P004,436,425,272,58.2,0,0,377
2025-12-11,P002,190,125,421,138.1,0,0,106
2025-12-12,P002,182,113,451,53.4,0,1,44
2025-12-13,P003,215,157,492,341.36,0,0,116
2025-12-14,P001,361,297,539,454.11,1,0,310
2025-12-15,P002,361,380,322,159.57,0,0,323
2025-12-16,P005,593,490,575,467.17,0,0,435
2025-12-17,P002,259,152,208,77.12,1,0,192
2025-12-18,P002,400,361,201,470.5,0,0,332
2025-12-19,P001,414,328,237,208.23,1,0,320
2025-12-20,P004,128,126,147,95.64,0,0,121
2025-12-21,P002,185,200,180,268.64,0,0,190
2025-12-22,P003,335,293,220,165.55,0,0,275
2025-12-23,P004,445,318,232,178.19,1,0,353
2025-12-24,P005,173,135,413,188.28,1,1,120
2025-12-25,P001,504,429,88,411.36,0,0,403
2025-12-26,P005,230,186,576,292.62,0,1,77
2025-12-27,P004,466,398,546,190.09,0,0,331
2025-12-28,P004,150,127,565,324.65,0,0,82
2025-12-29,P004,159,140,398,372.27,0,0,138
2025-12-30,P005,486,416,446,172.68,1,0,444
2025-12-31,P004,132,105,210,236.1,0,0,53
2026-01-01,P005,414,371,65,104.85,0,0,327
2026-01-02,P004,406,336,542,131.52,0,0,291
2026-01-03,P003,133,87,475,356.5,0,0,40
2026-01-04,P004,177,192,157,131.65,0,0,188
2026-01-05,P005,522,434,499,286.32,0,0,349
2026-01-06,P002,377,332,360,369.07,1,0,384
2026-01-07,P004,346,259,219,98.09,0,0,272
2026-01-08,P002,320,286,595,305.29,0,0,274
2026-01-09,P003,463,382,463,165.45,0,0,337
2026-01-10,P001,318,206,300,483.32,1,0,225
2026-01-11,P003,201,135,190,267.6,1,0,129
2026-01-12,P004,319,293,323,412.7,0,0,221
2026-01-13,P002,175,93,465,297.6,1,0,150
2026-01-14,P002,126,107,88,69.54,0,0,134
2026-01-15,P005,165,157,78,334.92,0,0,83
2026-01-16,P002,323,295,526,478.13,0,0,223
2026-01-17,P005,513,465,367,320.73,0,0,400
2026-01-18,P001,471,444,294,418.63,0,0,331
2026-01-19,P004,260,233,321,447.89,1,1,218
2026-01-20,P005,200,93,489,152.64,1,0,132
2026-01-21,P001,286,266,288,145.42,0,1,192
2026-01-22,P002,430,391,426,324.94,0,0,322
2026-01-23,P002,426,450,315,234.96,0,0,357
2026-01-24,P001,80,86,408,427.94,0,0,41
2026-01-25,P002,98,82,389,455.01,0,0,35
2026-01-26,P001,213,190,438,209.04,0,0,149
2026-01-27,P005,514,486,52,156.59,0,0,410
2026-01-28,P005,396,317,478,401.24,1,0,338
2026-01-29,P001,494,442,191,173.66,0,0,447
2026-01-30,P005,385,318,425,420.18,0,0,274
2026-01-31,P005,410,353,373,240.68,1,0,398
2026-02-01,P005,370,373,195,350.4,0,0,265
2026-02-02,P003,353,306,342,92.99,0,0,284
2026-02-03,P004,518,450,481,330.74,0,0,363
2026-02-04,P002,157,94,448,253.3,0,1,1
2026-02-05,P003,323,271,393,313.97,1,0,265
2026-02-06,P005,171,198,189,125.61,0,1,162
2026-02-07,P001,122,107,236,381.59,0,0,98
2026-02-08,P005,311,281,110,438.26,1,0,288
2026-02-09,P004,238,118,429,147.53,1,0,133
2026-02-10,P005,458,352,489,93.07,1,0,385
2026-02-11,P001,401,310,368,60.64,0,1,271
2026-02-12,P004,212,165,351,338.89,0,0,138
2026-02-13,P005,267,205,393,323.19,1,0,174
2026-02-14,P004,522,379,60,296.01,1,0,381
2026-02-15,P002,145,104,111,154.38,0,0,90
2026-02-16,P002,263,224,275,225.91,0,0,209
2026-02-17,P005,91,92,202,317.51,0,0,0
2026-02-18,P004,365,291,359,273.55,1,0,309
2026-02-19,P001,154,104,292,494.5,0,0,71
2026-02-20,P005,206,147,542,111.4,0,0,164
2026-02-21,P002,490,473,415,362.82,0,0,422
2026-02-22,P002,153,146,379,231.94,0,0,132
2026-02-23,P005,412,312,156,242.69,1,0,317
2026-02-24,P004,209,188,275,372.92,0,0,87
2026-02-25,P002,334,225,267,361.6,1,0,244
2026-02-26,P004,291,190,555,496.07,1,0,242
2026-02-27,P002,351,307,308,107.78,0,0,320
2026-02-28,P002,287,190,566,96.85,0,0,209
2026-03-01,P003,165,113,103,375.95,0,0,98
2026-03-02,P002,257,190,96,310.27,1,0,229
2026-03-03,P001,448,343,570,173.37,0,0,304
2026-03-04,P005,458,448,148,85.74,0,0,395
2026-03-05,P005,355,315,69,88.55,1,0,391
2026-03-06,P004,209,162,539,452.39,0,0,93
2026-03-07,P002,205,121,468,136.34,1,0,222
2026-03-08,P001,156,180,111,195.52,0,0,131
2026-03-09,P004,125,85,194,152.0,0,0,114
2026-03-10,P003,292,259,265,209.75,0,0,182
2026-03-11,P004,385,361,52,81.24,1,0,397
2026-03-12,P004,471,399,209,283.58,0,0,332
2026-03-13,P002,394,305,169,80.43,1,0,303
2026-03-14,P003,422,394,138,410.16,1,0,390
2026-03-15,P004,544,444,378,155.17,0,0,442
2026-03-16,P001,375,308,406,293.01,1,0,300
2026-03-17,P001,506,456,316,446.04,0,0,342
2026-03-18,P005,394,368,372,342.89,0,0,308
2026-03-19,P003,314,229,590,289.83,0,0,202
2026-03-20,P003,394,356,244,195.95,1,0,386
2026-03-21,P005,279,277,381,199.85,0,0,262
2026-03-22,P004,175,149,219,351.27,0,0,111
2026-03-23,P003,243,191,570,497.36,0,0,201
2026-03-24,P001,118,83,512,347.83,0,0,62
2026-03-25,P001,444,429,89,301.0,0,0,355
2026-03-26,P002,503,410,586,378.79,1,0,369
2026-03-27,P003,429,397,310,259.34,1,0,392
2026-03-28,P004,486,429,444,77.06,0,0,384
2026-03-29,P005,261,174,275,303.03,1,0,238
2026-03-30,P005,252,231,173,480.93,0,1,154
2026-03-31,P004,491,390,87,128.89,1,0,386
2026-04-01,P002,249,216,377,360.5,0,1,144
2026-04-02,P005,387,326,300,140.42,0,0,318
2026-04-03,P003,495,466,225,291.12,0,0,449
2026-04-04,P002,457,322,503,93.5,1,0,398
2026-04-05,P003,128,110,86,252.67,0,0,106
2026-04-06,P001,207,119,365,390.27,0,0,100
2026-04-07,P002,374,308,163,206.41,0,0,289
2026-04-08,P005,149,115,89,349.21,0,0,122
2026-04-09,P002,518,487,350,407.95,0,0,373
2026-04-10,P002,326,302,273,467.23,1,0,285
2026-04-11,P002,185,85,367,155.59,1,0,121
2026-04-12,P002,443,401,398,229.69,0,1,329
2026-04-13,P003,378,299,164,118.59,1,0,371
2026-04-14,P001,185,154,372,496.62,0,1,54
2026-04-15,P004,141,83,89,467.15,1,0,35
2026-04-16,P002,492,414,89,292.98,1,0,411
2026-04-17,P005,246,213,338,428.91,0,0,193
2026-04-18,P002,282,197,311,284.43,1,0,247
2026-04-19,P005,479,448,265,330.61,0,0,397
2026-04-20,P003,182,173,196,90.11,0,0,142
2026-04-21,P005,188,141,385,389.87,1,0,124
2026-04-22,P004,282,273,217,107.47,0,1,220
2026-04-23,P001,435,414,141,421.73,0,0,319
2026-04-24,P005,342,282,402,401.91,0,0,302
2026-04-25,P005,533,471,412,368.94,1,0,482
2026-04-26,P001,86,105,394,66.27,0,0,67
2026-04-27,P004,310,252,219,186.41,0,0,208
2026-04-28,P002,498,379,405,168.4,1,0,410
2026-04-29,P005,258,212,240,212.06,1,0,233
2026-04-30,P001,459,405,471,89.44,0,0,404
2026-05-01,P003,509,489,56,471.63,0,0,413
2026-05-02,P001,273,197,182,299.21,0,0,150
2026-05-03,P003,432,403,80,187.49,0,0,412
2026-05-04,P004,445,354,584,228.64,0,0,325
2026-05-05,P002,379,291,475,251.24,1,0,342
2026-05-06,P001,355,304,443,320.27,0,0,242
2026-05-07,P005,101,99,412,282.06,0,0,78
2026-05-08,P004,225,192,486,463.73,0,0,153
2026-05-09,P001,292,219,131,273.63,1,0,192
2026-05-10,P005,144,126,405,496.47,0,0,139
2026-05-11,P001,143,80,307,433.14,1,0,147
2026-05-12,P003,236,169,573,143.83,0,0,145
2026-05-13,P001,241,221,344,468.77,0,0,133
2026-05-14,P001,463,399,273,102.36,0,0,377
2026-05-15,P001,145,117,574,417.85,0,0,81
